group: thresh_pba_dfs
root: dow_jones
desc: fth thresh


debug: s
                           pba_oc_return_fth_of_xact  \
2006-05-05 20:00:00+00:00                   0.005544  
2006-05-08 13:00:00+00:00                   0.003889  
2006-05-08 14:00:00+00:00                   0.001357  
2006-05-08 15:00:00+00:00                  -0.002106  
2006-05-08 16:00:00+00:00                  -0.004617  
2006-05-08 17:00:00+00:00                   0.001010  
2006-05-08 18:00:00+00:00                  -0.000720  
2006-05-08 19:00:00+00:00                   0.001446  
2006-05-08 20:00:00+00:00                   0.003397  
2006-05-09 13:00:00+00:00                   0.001919  
2006-05-09 14:00:00+00:00                  -0.003942  
2006-05-09 15:00:00+00:00                  -0.002949  
2006-05-09 16:00:00+00:00                   0.002568  
