group: thresh_pba_dzn_normalize
root: dow_jones
desc: thresh_dzn


debug: s
                           pba_oc_return_fth_of_xact  \
1998-01-06 15:00:00+00:00                  -0.395423   
1998-01-06 16:00:00+00:00                  -0.442326   
1998-01-06 17:00:00+00:00                  -0.291718   

                           pba_oa_return_fth_of_xact  \
id                                                     
1998-01-02 14:00:00+00:00                  -0.130347   
1998-01-02 15:00:00+00:00                  -0.223099   
1998-01-02 16:00:00+00:00                  -0.221891   
1998-01-02 17:00:00+00:00                  -0.187504   
1998-01-02 18:00:00+00:00                  -0.230256   
1998-01-02 19:00:00+00:00                  -0.250893   
1998-01-02 20:00:00+00:00                  -0.152386   
1998-01-02 21:00:00+00:00                  -0.211103   
1998-01-05 14:00:00+00:00                  -0.183597   
1998-01-05 15:00:00+00:00                  -0.099467   
1998-01-05 16:00:00+00:00                  -0.190871   
1998-01-05 17:00:00+00:00                  -0.213307   
1998-01-05 18:00:00+00:00                  -0.280737   
1998-01-05 19:00:00+00:00                  -0.226059   
1998-01-05 20:00:00+00:00                  -0.303555   
1998-01-05 21:00:00+00:00                  -0.214117   
1998-01-06 14:00:00+00:00                  -0.280476   
1998-01-06 15:00:00+00:00                  -0.268841   
1998-01-06 16:00:00+00:00                  -0.267618   
1998-01-06 17:00:00+00:00                  -0.170744   

                           pba_lh_return_fth_of_xact  
id                                                    
1998-01-02 14:00:00+00:00                  -0.924775  
1998-01-02 15:00:00+00:00                  -0.903380  
1998-01-02 16:00:00+00:00                  -0.968854  
1998-01-02 17:00:00+00:00                  -0.965018  
1998-01-02 18:00:00+00:00                  -0.974921  
1998-01-02 19:00:00+00:00                  -0.959022  
1998-01-02 20:00:00+00:00                  -0.822361  
1998-01-02 21:00:00+00:00                  -0.990977  
1998-01-05 14:00:00+00:00                  -0.923486  
1998-01-05 15:00:00+00:00                  -0.886743  
1998-01-05 16:00:00+00:00                  -0.939754  
1998-01-05 17:00:00+00:00                  -0.975025  
1998-01-05 18:00:00+00:00                  -0.901990  
1998-01-05 19:00:00+00:00                  -0.905612  
1998-01-05 20:00:00+00:00                  -0.867091  
1998-01-05 21:00:00+00:00                  -0.987364  
1998-01-06 14:00:00+00:00                  -0.906822  
1998-01-06 15:00:00+00:00                  -0.905224  
1998-01-06 16:00:00+00:00                  -0.916903  
1998-01-06 17:00:00+00:00                  -0.952563  


root: russell_2000
desc: thresh_dmx


debug: s
                           pba_oc_return_fth_of_xact  \
id                                                     
1998-01-02 14:00:00+00:00                  -0.047882   
1998-01-02 15:00:00+00:00                  -0.078622   
1998-01-02 16:00:00+00:00                   0.023757   
1998-01-02 17:00:00+00:00                   0.031271   
1998-01-02 18:00:00+00:00                   0.027509   
1998-01-02 19:00:00+00:00                  -0.006910   
1998-01-02 20:00:00+00:00                   0.130230   
1998-01-02 21:00:00+00:00                   0.034961   
1998-01-05 14:00:00+00:00                   0.028094   
1998-01-05 15:00:00+00:00                   0.065480   
1998-01-05 16:00:00+00:00                   0.057306   
1998-01-05 17:00:00+00:00                   0.001349   
1998-01-05 18:00:00+00:00                  -0.046520   
1998-01-05 19:00:00+00:00                  -0.013654   
1998-01-05 20:00:00+00:00                   0.051801   
1998-01-05 21:00:00+00:00                   0.032447   
1998-01-06 14:00:00+00:00                  -0.130059   
1998-01-06 15:00:00+00:00                   0.009356   
1998-01-06 16:00:00+00:00                  -0.054517   
1998-01-06 17:00:00+00:00                  -0.007624   

                           pba_oa_return_fth_of_xact  \
id                                                     
1998-01-02 14:00:00+00:00                   0.616241   
1998-01-02 15:00:00+00:00                   0.580922   
1998-01-02 16:00:00+00:00                   0.621968   
1998-01-02 17:00:00+00:00                   0.620074   
1998-01-02 18:00:00+00:00                   0.624515   
1998-01-02 19:00:00+00:00                   0.615288   
1998-01-02 20:00:00+00:00                   0.643045   
1998-01-02 21:00:00+00:00                   0.627268   
1998-01-05 14:00:00+00:00                   0.629678   
1998-01-05 15:00:00+00:00                   0.636145   
1998-01-05 16:00:00+00:00                   0.625295   
